,address,issue_reported,location_latitude,location_longitude,published_date
139,Parker Ln & Fawn Dr,Traffic Impediment,30.235967,-97.734548,2017-10-15
140,0 N Mopac Sb To Waters Park Ramp,Traffic Hazard,30.417754,-97.705515,2017-10-13
141,14709 Reynero Ln,LOOSE LIVESTOCK,30.0893956,-97.6437964,2017-09-27
142,12200 FM 969 RD,COLLISION WITH INJURY,30.254120,-97.605291,2017-10-15
143,6407 Springdale Rd,Crash Service,30.3065976,-97.6698457,2017-10-06
144,700 W Anderson Ln Wb,Traffic Hazard,30.347863,-97.712496,2017-10-12
145,525 N LAMAR BLVD,Crash Urgent,30.2714839,-97.7539327,2017-10-03
146,Cameron Rd & Ferguson Ln,Crash Urgent,30.345813,-97.677475,2017-10-15
147,2400-2513 S Congress Ave,Crash Urgent,30.2387516,-97.753618,2017-09-28
148,Connie St & Three Points Rd,TRFC HAZD/ DEBRIS,30.4540729,-97.6669692,2017-09-27
149,8947 FM 2244 RD,COLLISN/ LVNG SCN,30.3181878,-97.8638168,2017-09-28
150,10500-10825 Thaxton Rd,LOOSE LIVESTOCK,30.121006,-97.742887,2017-10-12
151,12800-12808 N FM 620 RD SB,Traffic Hazard,30.466788,-97.804189,2017-10-15
152,9800-blk S Us 183 Hwy,TRFC HAZD/ DEBRIS,30.107487,-97.694708,2017-10-17
153,4701 Spicewood Springs Rd,Crash Service,30.3755878,-97.7622111,2017-09-29
154,12200-12257 N Ih 35 Svrd Nb,Crash Urgent,30.398905,-97.672930,2017-10-17
155,11100-11610 S Mopac Expy Sb,Traffic Hazard,30.1810308,-97.8825225,2017-10-04
156,Techni Center Dr & Ed Bluestein Blvd Nb,Traffic Hazard,30.276050,-97.667914,2017-10-13
157,Wickersham Ln & E Riverside Dr,Traffic Hazard,30.2323884,-97.7204162,2017-09-30
158,W 29th St & N Lamar Blvd,Traffic Impediment,30.2981401,-97.7484801,2017-09-30
159,9501-9609 W PARMER LN,Crash Urgent,30.482684,-97.767969,2017-10-14
160,209 W 14th St,Crash Service,30.2764571,-97.7417605,2017-09-26
161,4900 N Ih 35 Nb,Traffic Hazard,30.307696,-97.711366,2017-10-17
162,2901-2959 S LAKELINE BLVD,Crash Urgent,30.476859,-97.807199,2017-10-15
